rownumber,jobcode,Timestamp,Local Date,Local Time,Temperature (°C),Humidity (%),Latitude,Longitude,Altitude (m),Accuracy (m),Speed (MPH)
1,Tracy080925_022-20250809 205154,1754798398710,8/9/2025,20:59:58,31.04,0.0,37.743254,-121.425050,13.60,50.82,-2.24
1111,Tracy080925_022-20250809 205154,1754798399820,8/9/2025,20:59:59,31.05,0.0,37.743348,-121.425237,16.84,13.50,0.00
2371,Tracy080925_022-20250809 205154,1754798401080,8/9/2025,21:00:01,31.05,0.0,37.743354,-121.425251,16.84,3.53,0.00
3391,Tracy080925_022-20250809 205154,1754798402100,8/9/2025,21:00:02,31.04,0.0,37.743354,-121.425251,16.84,3.53,0.00
4381,Tracy080925_022-20250809 205154,1754798403090,8/9/2025,21:00:03,31.04,0.0,37.743354,-121.425251,16.84,3.53,0.00
5401,Tracy080925_022-20250809 205154,1754798404110,8/9/2025,21:00:04,31.05,0.0,37.743354,-121.425251,16.84,3.53,0.00
6400,Tracy080925_022-20250809 205154,1754798405109,8/9/2025,21:00:05,31.05,0.0,37.743354,-121.425251,16.84,3.52,0.00
7410,Tracy080925_022-20250809 205154,1754798406119,8/9/2025,21:00:06,31.05,0.0,37.743354,-121.425251,16.84,3.52,0.00
8401,Tracy080925_022-20250809 205154,1754798407110,8/9/2025,21:00:07,31.06,0.0,37.743354,-121.425251,16.84,3.52,0.00
9390,Tracy080925_022-20250809 205154,1754798408099,8/9/2025,21:00:08,31.06,0.0,37.743354,-121.425251,16.84,3.52,0.00
10380,Tracy080925_022-20250809 205154,1754798409089,8/9/2025,21:00:09,31.08,0.0,37.743354,-121.425251,16.84,3.52,0.00
11400,Tracy080925_022-20250809 205154,1754798410109,8/9/2025,21:00:10,31.09,0.0,37.743354,-121.425251,16.84,3.52,0.00
12389,Tracy080925_022-20250809 205154,1754798411098,8/9/2025,21:00:11,31.08,0.0,37.743354,-121.425251,16.84,3.52,0.00
13409,Tracy080925_022-20250809 205154,1754798412118,8/9/2025,21:00:12,31.07,0.0,37.743354,-121.425251,16.84,2.83,0.00
14399,Tracy080925_022-20250809 205154,1754798413108,8/9/2025,21:00:13,31.06,0.0,37.743354,-121.425251,16.84,2.83,0.00
15389,Tracy080925_022-20250809 205154,1754798414098,8/9/2025,21:00:14,31.05,0.0,37.743354,-121.425251,16.84,2.82,0.00
16409,Tracy080925_022-20250809 205154,1754798415118,8/9/2025,21:00:15,31.04,0.0,37.743354,-121.425251,16.84,2.82,0.00
