rownumber,jobcode,Timestamp,Local Date,Local Time,Temperature (°C),Humidity (%),Latitude,Longitude,Altitude (m),Accuracy (m),Speed (MPH),SourceFile,time_delta,temperature_correction_c,corrected_temperature_c,corrected_temperature_f,LocalTime
3511,RHS032926_066-20260329 221119,2026-03-30 05:24:09.963,3/29/2026,22:24:09,14.86,54.0,37.663941,-121.682163,226.0,5.0,2.42,RHS032926_066.csv,0.0,0.0,14.86,58.75,2026-03-29 22:24:09.963000-07:00
4501,RHS032926_066-20260329 221119,2026-03-30 05:24:10.953,3/29/2026,22:24:10,14.87,54.0,37.663939,-121.682182,226.0,5.0,5.75,RHS032926_066.csv,0.99,0.0,14.87,58.77,2026-03-29 22:24:10.953000-07:00
5521,RHS032926_066-20260329 221119,2026-03-30 05:24:11.973,3/29/2026,22:24:11,14.86,54.0,37.663936,-121.682217,226.0,5.0,8.16,RHS032926_066.csv,2.01,0.0,14.86,58.75,2026-03-29 22:24:11.973000-07:00
6511,RHS032926_066-20260329 221119,2026-03-30 05:24:12.963,3/29/2026,22:24:12,14.95,54.0,37.663931,-121.682263,226.0,5.0,10.13,RHS032926_066.csv,3.0,0.0,14.95,58.91,2026-03-29 22:24:12.963000-07:00
7531,RHS032926_066-20260329 221119,2026-03-30 05:24:13.983,3/29/2026,22:24:13,14.88,54.0,37.663928,-121.682318,226.0,5.0,11.27,RHS032926_066.csv,4.02,0.0,14.88,58.78,2026-03-29 22:24:13.983000-07:00
8521,RHS032926_066-20260329 221119,2026-03-30 05:24:14.973,3/29/2026,22:24:14,14.89,54.0,37.663926,-121.682378,226.0,5.0,12.3,RHS032926_066.csv,5.01,0.0,14.89,58.8,2026-03-29 22:24:14.973000-07:00
9511,RHS032926_066-20260329 221119,2026-03-30 05:24:15.963,3/29/2026,22:24:15,14.91,54.0,37.66393,-121.682445,226.0,5.0,13.91,RHS032926_066.csv,6.0,0.0,14.91,58.84,2026-03-29 22:24:15.963000-07:00
10531,RHS032926_066-20260329 221119,2026-03-30 05:24:16.983,3/29/2026,22:24:16,14.91,54.0,37.663937,-121.682517,226.0,5.0,14.5,RHS032926_066.csv,7.02,0.0,14.91,58.84,2026-03-29 22:24:16.983000-07:00
11521,RHS032926_066-20260329 221119,2026-03-30 05:24:17.973,3/29/2026,22:24:17,14.88,54.0,37.663948,-121.682592,226.0,5.0,15.55,RHS032926_066.csv,8.01,0.0,14.88,58.78,2026-03-29 22:24:17.973000-07:00
12511,RHS032926_066-20260329 221119,2026-03-30 05:24:18.963,3/29/2026,22:24:18,14.88,54.0,37.663962,-121.68267,226.0,5.0,15.19,RHS032926_066.csv,9.0,0.0,14.88,58.78,2026-03-29 22:24:18.963000-07:00
13531,RHS032926_066-20260329 221119,2026-03-30 05:24:19.983,3/29/2026,22:24:19,14.87,54.0,37.663974,-121.68274,225.0,5.0,13.0,RHS032926_066.csv,10.02,0.0,14.87,58.77,2026-03-29 22:24:19.983000-07:00
14521,RHS032926_066-20260329 221119,2026-03-30 05:24:20.973,3/29/2026,22:24:20,14.92,54.0,37.663986,-121.682802,225.0,5.0,12.55,RHS032926_066.csv,11.01,0.0,14.92,58.86,2026-03-29 22:24:20.973000-07:00
15541,RHS032926_066-20260329 221119,2026-03-30 05:24:21.993,3/29/2026,22:24:21,14.91,53.0,37.663998,-121.682865,225.0,5.0,13.24,RHS032926_066.csv,12.03,0.0,14.91,58.84,2026-03-29 22:24:21.993000-07:00
16531,RHS032926_066-20260329 221119,2026-03-30 05:24:22.983,3/29/2026,22:24:22,15.03,54.0,37.664012,-121.682932,225.0,5.0,14.16,RHS032926_066.csv,13.02,0.0,15.03,59.05,2026-03-29 22:24:22.983000-07:00
17521,RHS032926_066-20260329 221119,2026-03-30 05:24:23.973,3/29/2026,22:24:23,14.98,53.0,37.664026,-121.683004,225.0,5.0,15.19,RHS032926_066.csv,14.01,0.0,14.98,58.96,2026-03-29 22:24:23.973000-07:00
18541,RHS032926_066-20260329 221119,2026-03-30 05:24:24.993,3/29/2026,22:24:24,14.94,53.0,37.664042,-121.683082,224.0,5.0,17.02,RHS032926_066.csv,15.03,0.0,14.94,58.89,2026-03-29 22:24:24.993000-07:00
19533,RHS032926_066-20260329 221119,2026-03-30 05:24:25.985,3/29/2026,22:24:25,15.03,53.0,37.66406,-121.683172,224.0,5.0,19.44,RHS032926_066.csv,16.022,0.0,15.03,59.05,2026-03-29 22:24:25.985000-07:00
20521,RHS032926_066-20260329 221119,2026-03-30 05:24:26.973,3/29/2026,22:24:26,15.03,53.0,37.664081,-121.683273,224.0,5.0,21.41,RHS032926_066.csv,17.01,0.0,15.03,59.05,2026-03-29 22:24:26.973000-07:00
